СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
Витебский областной суд,1.,Стефановский Игорь Эдуардович,бессрочно,06.02.2020 № 41,судья,от 06.02.2020 № 41,суд Октябрьского района г. Витебска ,судья,
,2.,Федюкевич Александр Иосифович,бессрочно,06.02.2020 № 41,судья и председатель суда,от 06.02.2020 № 41,Витебский областной суд,заместитель председателя суда ,
,3. ,Дроздов Александр Викторович,бессрочно,05.04.2007  № 167,судья,05.04.2007  № 167,,,
,,Волкова Светлана Ивановна,5 лет,22.08.2018  № 348,судья,22.08.2018  № 348,суд г. Новополоцка,судья,
,,Бондарев Сергей Александрович,бессрочно,14.11.2017  № 406,судья и заместитель председателя суда,,,,
,,Фоменко Анатолий Григорьевич,бессрочно,14.11.2017  № 406,судья и первый заместитель председателя суда,,витебский областной суд,заместитель председателя суда,
,,Макаревич Игорь Михайлович ,5 лет,22.08.2018  № 348,судья,,суд Октябрьского района г. Витебска ,судья,
,,Колесник Игорь Викторовик,бессрочно,22.12.2015  №510,судья,22.12.2015  №510,суд Полоцкого района и г. Полоцка,судья и председатель суда и судья,
,,Хилькевич Наталья Фёдоровна,бессрочно,26.06.2014  № 297,судья,,,,
,,Прейс Андрей Владимирович,5 лет,15.06.2020 № 213,судья,02.07.2015 № 299,суд Первомайского района г. Витебска,судья,
,,Хамиченко Николай Николаевич,бессрочно,11.02.2015 № 53,судья,,,,
,,Быстров Виктор Викторович,5 лет,25.05.2017 № 185,судья,,суд Чашникского района,судья,
,,Бурунов Евгений Илларионович,бессрочно,09.03.2017 № 77,судья,09.03.2017 № 77,суд Октябрьского района г. Витебска ,судья и председатель суда и судья,
,,Губанов Денис Матвеевич,5 лет,09.03.2017 № 77,судья,09.03.2017 № 77,суд Железнодорожного района г. Витебска,судья,
,,Фёдоров Олег Станиславович,бессрочно,15.06.2020 № 213,судья и заместитель председателя суда,,,,
,,Лях Наталья Викторовна,5 лет,31.07.2017 № 268,судья,,суд Октябрьского района г. Витебска,судья,
,,,,,,,,,
суд Витебского района,,Дегтярёва Татьяна Валерьевна ,бессрочно,22.08.2018  № 348,судья и заместитель председателя суда,22.08.2018  № 348,,,
,,Игнатенко Анна Александровна ,5 лет ,22.08.2018  № 348,судья,22.08.2018  № 348,,,
,,Горохова Марина Чеславовна,бессрочно,14.11.2017  № 406,судья и председатель суда,,,,
,,Третьякова Наталья Михайловна,5 лет,03.10.2019 № 366,судья,,,,
,,Носова Александра Александровна,5 лет,03.10.2019 № 366,судья и заместитель председателя суда,02.07.2015 № 299,суд Городокского района,судья,
,,Лобацкая Татьяна Владимировна,5 лет,03.10.2019 № 366,судья,,,,
,,Зубеня Михаил Николаевич,бессрочно,23.10. 2014 г. № 502,судья,,,,
,,,,,,,,,
экономический суд Витебской области,,Володин Юрий Александрович,5 лет,06.02.2020 № 41,судья,,,,
,,Римша Игорь Сергеевич,бессрочно,06.02.2020 № 41,судья,,,,
,,Ковалева Ирина Васильевна,бессрочно,04.02.2019 № 38,судья,,,,
,,Стефанович Наталья Леонидовна,бессрочно,06.02.2020 № 41,судья и заместитель председателя суда,,,,
,,Бородулин Алексей Александрович ,5 лет,22.08.2018 № 348,судья,,,,
,,Зайцев Михаил Яковлевич ,5 лет ,22.08.2018 № 348,судья,,,,
,,Киенко Олег Борисович ,бессрочно,22.08.2018 № 348,судья и председатель суда ,,,,
,,Пискунович Ольга Васильевна,5 лет ,22.08.2018 № 348,судья,,,,
,,Васильева Жанна Александровна,5 лет ,15.06.2020 № 213,судья,15.06.2020 № 213,экономический суд,судья,перевод
,,Тур Ольга Николаевна,,27.02.2018 № 88,судья и заместитель председателя суда,,,,
,,Гуреев Анатолий Валерьевич,бессрочно,03.10.2019 № 366,судья,,,,
,,Буракова Юлия Михайловна,5 лет,03.10.2019 № 366,судья,,,,
,,,,,,,,,
суд Октябрьского района г. Витебска,,Грабовская Инна Валерьевна,5 лет,06.02.2020 № 41,судья,,,,
,,Жарикова Алеся Сергеевна,5 лет		,06.02.2020 № 41,судья,,,,
,,Киндеева Снежана Александровна ,5 лет,22.08.2018  № 348,судья,22.08.2018  № 348,суд Лиозненского района,судья,
,,Атрахимович Николай Александрович,5 лет ,15.10.2020  № 364,судья,,,,
,,"Баркова Марина Владимировна",бессрочно,05.06.2013 № 259,судья,,,,
,,Белоус Илья Владимирович,5 лет,25.05.2017 № 185,судья,,,,
,,"Лапшова Мария Георгиевна
",5 лет,04.02.2019 № 38,судья,,,,
,,Цариков Владимир Михайлович,5 лет,21.04.2016  № 153,судья ,,,,
,,Будревич Сергей Валерьевич,5 лет,03.10.2019 № 366,судья ,,,,
,,Лещенко Виктория Александровна,бессрочно,09.03.2017 № 77,судья и заместитель председателя суда,,,,
,,Попкова Елена Михайловна,бессрочно,09.03.2017 № 77,судья и председатель суда ,09.03.2017 № 77,суд Октябрьского района г. Витебска,заместитель председателя суда,
,,Догиль Алиса Михайловна,5 лет,04.02.2019 № 38,судья ,,,,
,,"Журавкова Татьяна Николаевна
",бессрочно,31.07.2017 № 268,судья и заместитель председателя суда,,,,
,,,,,,,,,
суд Железнодорожного района г. Витебска,,Цыганкова Елена Михайловна,5 лет,22.08.2018  № 348,судья,,,,
,,Гребенчук Елена Николаевна,бессрочно,23.04.2014 № 183,судья,,,,
,,Алексеенко Денис Владимирович,5 лет,,судья,,,,
,,Бордюкова Алла Сергеевна,бессрочно,04.05.2001 № 239,судья,,,,
,,Воротынская Светлана Владимировна,бессрочно,21.04.2016  № 153,судья и заместитель председателя суда,,,,
,,Дегода Роман Игоревич,бессрочно,21.04.2016  № 153,судья и председатель суда,,,заместитель председателя суда,повышение до председателя суда
,,Шаповал Ольга Ивановна,5 лет,09.03.2017 № 77,судья,09.03.2017 № 77,суд Витебского района,судья (занимаемая в связи с нахождением в социальном отпуске Игнатенко Анны Александровны),
,,,,,,,,,
суд Первомайского района г. Витебска,,Борисова Вероника Сергеевна,5 лет,06.02.2020 № 41,судья,от 06.02.2020 № 41,суд Городокского района,судья,выход на работу основного работника после социального отпуска
,,Юрченко Михаил Григорьевич,5 лет,06.02.2020 № 41,судья,,,,
,,Андрушенко Андрей Анатольевич,бессрочно,14.11.2017  № 406,судья и председатель суда,,,,
,,Абрамова Светлана Анатольевна,5 лет,03.10.2019 № 366,судья,,,,
,,Шидловский Андрей Егоровия,5 лет,15.10.2020  № 364,судья,,,,
,,Савицкая Елена Николаевна,5 лет,03.10.2019 № 366,судья,,,,
,,Ильюшонок Ольга Владимировна,бессрочно,15.06.2020 № 213,судья,15.06.2020 № 213,суд Первомайского района г. Витебска ,судья и заместитель председателя суда,
,,"Дасько Наталья Евгеньевна
",бессрочно,31.12.2013 № 587,судья,,,,
,,"Родина Татьяна Михайловна
",бессрочно,31.12.2013 № 587,судья,,,,
,,Дубецкая Анна Григорьевна,бессрочно,09.03.2017 № 77,судья и заместитель председателя суда,,,,
,,Жук Елена Семеновна,бессрочно,09.03.2017 № 77,судья,,,,
,,Шарец Елена Алексеевна,бессрочно,01.08.2016 № 297,судья,,,,
,,Кораблина Наталья Вячеславовна,бессрочно,05.12.2006 № 712,судья,,,,
,,,,,,,,,
суд Полоцкого района и г. Полоцка ,,Бесецкий Владимир Георгиевич,5 лет,06.02.2020 № 41,заместитель председателя суда,,,,
,,Дергачёв Андрей Александрович,5 лет,06.02.2020 № 41,судья,от 06.02.2020 № 41,Суд Полоцкого района и г. Полоцка ,судья,выход на работу основного работника после социального отпуска
,,Никитина Валентина Леонидовна,бессрочно,22.12.2015  №510,судья и председатель суда,22.12.2015  №510,суд Лепельского района,судья и председатель суда и судья,
,,Колосовская Юлия Михайловна,5 лет,03.10.2019 № 366,судья,,,,
,,Санкович Наталия Сергеевна,5 лет,03.10.2019 № 366,судья,,,,
,,Балико Виктор Иосифович,5 лет,15.06.2020 № 213,судья,,,,
,,Мишута Оксана Николаевна,5 лет,03.10.2019 № 366,судья,,,,
,,Василенко Денис Геннадьевич,5 лет,31.07.2017 № 268,судья,,,,
,,Субботина Татьяна Николаевна,5 лет,31.07.2017 № 268,судья и заместитель председателя суда,,,,
,,,,,,,,,
суд г. Новополоцка,,Янюк Виталий Фёдорович,5 лет,06.02.2020 № 41,судья,,,,
,,Калиниченко Снежана Владимировна ,5 лет,22.08.2018  № 348,судья,,суд г. Новополоцка,судья,занимала должность в связи с нахождением в соц. отпуске Балико Ольги Владимировны
,,Болоболова Зинаида Васильевна,5 лет,15.06.2020 № 213,судья,,,,
,,Гавро Светлана Владимировна,5 лет,03.10.2019 № 366,судья,,,,
,,Балико Ольга Владимировна,5 лет,15.10.2020  № 364,судья,,,,
,,"Верташонок Елена Эдуардовна
",бессрочно,03.10.2019 № 366,судья и председатель суда,,,,
,,Лапко Виталий Олесевич,5 лет,03.10.2019 № 366,судья и заместитель председателя суда,,суд Полоцкого района и г. Полоцка,судья,
,,Жарова Ирина Васильевна,5 лет,01.08.2016 № 297,судья,,,,
,,,,,,,,,
суд Чашникского района,,Дробыш Марина Анатольевна,бессрочно,06.02.2020 № 41,судья,,,,
,,Папкова Анна Сергеевна,5 лет,03.10.2019 № 366,судья,,,,
,,Кручинина Иринуа Алексеевна,5 лет,25.05.2017 № 185,судья,,,,
,,Заруба Татьяна Николаевна,бессрочно,03.10.2019 № 366,судья и председатель суда,,,,
,,Коваль Василий Алексеевич,бессрочно,31.07.2017 № 268,судья,,,,
,,,,,,,,,
суд Россонского района,,Еловая Елена Михайловна,5 лет,06.02.2020 № 41,судья,,,,
,,Морозова Елена Кирилловна,бессрочно,14.11.2017  № 406,судья и председатель суда,,,,
,,"Доминич Рада Васильевна
",5 лет,04.02.2019 № 38,судья,,,,
,,,,,,,,,
суд Оршанского района и г. Орши,,Кохова Инна Викторовна,бессрочно,06.02.2020 № 41,судья,,,,
,,Драгунов Николай Александрович,5 лет,03.10.2019 № 366,судья и заместитель председателя суда,,,,
,,Разумович Дмитрий Александрович,5 лет,14.11.2017  № 406,судья,,,,
,,Можейко Екатерина Васильевна,5 лет,27.02.2018 № 88,судья,,,,
,,Дранькова Олеся Анатольевна,5 лет,03.10.2019 № 366,судья,,,,
,,Парохонько Наталья Васильевна,5 лет,03.10.2019 № 366,судья,,,,
,,Вершинина Юлия Николаевна,5 лет,04.02.2019 № 38,судья,,,,
,,Картузова Ирина Викторовна,5 лет,15.10.2020  № 364,судья,,суд Оршанского района и г. Орши,судья,занимала в связи с нахождением в социальном отпуске Хаткевич Юлии Анатольевны
,,Серговицкая Юлия Валерьевна,5 лет,03.10.2019 № 366,судья,,,,
,,Бойцова Наталья Александровна,5 лет,25.05.2017 № 185,судья и заместитель председателя суда,,,,
,,Котова Алеся Анатольевна,5 лет,25.05.2017 № 185,судья и председатель суда,,,,
,,Шамкова Илона Дмитриевна,5 лет,25.05.2017 № 185,судья,,суд Оршанского района и г. Орши,заместитель предстедателя,
,,Конащенко Людмила Михайловна,бессрочно,03.10.2019 № 366,судья,,,,
,,Кузьмичёнок Светлана Анатольевна,5 лет,03.10.2019 № 366,судья,,,,
,,Архипова Наталья Игоревна,5 лет,09.03.2017 № 77,судья,,,,
,,Лисичёнок Мария Петровна,5 лет,15.06.2020 № 213,судья,,,,
,,Хаткевич Юлия Анатольевна,5 лет,04.02.2019 № 38,судья,,,,
,,,,,,,,,
суд Сенненского района,,Талай Людмила Николаевна,бессрочно,06.02.2020 № 41,судья,,,,
,,Досова Инна Генадьевна,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,,,,,,,,
суд Городокского района ,,Вихотенко Елена Михайловна,5 лет  ,22.08.2018  № 348,судья,,,,
,,"Гуринова Анна Дмитриевна
",5 лет,15.06.2020 № 213,судья,,,,
,,Лешкович Александр Эдуардович,бессрочно,31.07.2017 № 268,судья и председатель суда,,,,
,,,,,,,,,
суд Поставского района,,Жукова Наталья Фёдоровна ,5 лет,22.08.2018  № 348,судья,,,,
,,Корытко Анатолий Викторович ,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,,,,,,,,
суд Глубокского района,,Казак Ирина Станиславовна,бессрочно,14.11.2017  № 406,судья и председатель суда,,,,
,,Тарасевич Андрей Романович,бессрочно,09.03.2017 № 77,судья,,,,
,,Ващенко Людмила Степановна,бессрочно,20.05.2002 № 250,судья,,,,
,,,,,,,,,
суд Миорского района,,Кот Елена Анатольевна,5 лет,14.11.2017  № 406,судья,,,,
,,Яскевич Ирина Вячеславовна,5 лет,15.10.2020  № 364,судья и председатель суда,,суд Верхнедвинского района,судья,
,,,,,,,,,
суд Бешенковичского района,,Реут Наталья Петровна,5 лет,14.11.2017  № 406,судья,,,,
,,Рощина Наталья Николаевна,бессрочно,31.07.2017 № 268,судья и председатель суда,,,,
,,,,,,,,,
суд Шарковщинского района,,Табола Оксана Георгиевна,5 лет,14.11.2017  № 406,судья,,,,
,,Григорьева Наталья Евгеньевна,бессрочно,15.10.2020  № 364,судья и председатель суда,,суд Миорского района ,судья и председатель суда и судья,
,,,,,,,,,
суд Дубровенского района,,Циклинская Мария Петровна,5 лет,14.11.2017  № 406,судья и председатель суда,,суд Оршанского района и г. Орши,Судья,
,,Татаев Игорь Алексеевич,5 лет,22.12.2015  №510,судья,,,,
,,,,,,,,,
суд Докшицкого района,,Елисеенко Вячеслав Владимирович,бессрочно,31.05.2019  № 209,судья и председатель суда,,,,
,,,,,,,,,
суд Лиозненского района,,Лапушинский Алексей Антонович,5 лет,22.08.2018  № 348,судья,,суд Лиозненского района,судья ,занимал должность в связи с нахождении в социальном отпуске Кручининой Ирины Алексеевны
,,Афанасьева Антонина Васильевна,бессрочно,31.07.2017 № 268,судья и председатель суда,,,,
,,,,,,,,,
суд Толочинского района,,Котова Ирина Васильевна,5 лет,27.02.2018 № 88,судья и председатель суда,,,,
,,Борисовец Наталья Иосифовна,бессрочно,09.03.2017 № 77,судья,,,,
,,,,,,,,,
суд Лепельского района,,Васюк Дмитрий Михайлович,5 лет,22.12.2015  №510,судья и председатель суда,,,,
,,Новик Алеся Васильевна,5 лет,01.08.2016 № 297,судья,,суд Докшицкого района,судья,
,,,,,,,,,
суд Верхнедвинского района,,Коваленко Людмила Геннадьевна,бессрочно,04.02.2019 № 38,судья и председатель суда,,,,
,,,,,,,,,
суд Браславского района,,"Прокопчик Ольга Брониславовна
",бессрочно,04.02.2019 № 38,судья и председатель суда,,,,
,,Вязицкий Александр Петрович,5 лет,21.04.2016  № 153,судья,,,,
,,,,,,,,,
суд Ушачского района,,Лаюшко Ольга Ивановна,5 лет,25.05.2017 № 185,судья,,,,
,,Зинькевич Фадей Анатольевич,бессрочно,21.04.2016  № 153,судья и председатель суда,,,,
,,,,,,,,,
суд Шумилинского района ,,Унукович Екатерина Михайловна,5 лет,09.03.2017 № 77,судья,,,,
,,Синицкая Елена Алексеевна,бессрочно,01.08.2016 № 297,судья и председатель суда,,,,
